0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:50:41 +0900] "GET /test/ HTTP/1.1" 200 24151
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:51:01 +0900] "GET /test/user/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:51:01 +0900] "GET /test/ HTTP/1.1" 200 24622
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:51:15 +0900] "GET /test/main HTTP/1.1" 404 15208
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:51:15 +0900] "GET /test/img/pixel.gif HTTP/1.1" 404 15208
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:51:16 +0900] "GET /test/ HTTP/1.1" 200 24622
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:51:21 +0900] "GET /test/ HTTP/1.1" 200 24622
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:51:27 +0900] "GET /test/user/main?cafeId=cafeId1 HTTP/1.1" 200 26127
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:51:31 +0900] "GET /test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:51:31 +0900] "GET /test/ HTTP/1.1" 200 24622
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:51:31 +0900] "GET /test/user/main?cafeId=cafeId2 HTTP/1.1" 200 23085
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:51:33 +0900] "GET /test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:51:33 +0900] "GET /test/ HTTP/1.1" 200 24622
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:51:34 +0900] "GET /test/user/main?cafeId=cafeId3 HTTP/1.1" 200 23464
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:52:48 +0900] "GET /test/user/main?cafeId=cafeId6 HTTP/1.1" 200 23453
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:52:48 +0900] "GET /test/resources/img/think-different.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:52:51 +0900] "GET /test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:52:51 +0900] "GET /test/ HTTP/1.1" 200 24622
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:52:53 +0900] "GET /test/user/main?cafeId=cafeId1 HTTP/1.1" 200 26127
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:53:04 +0900] "POST /test/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:53:04 +0900] "GET /test/user/main?cafeId=cafeId1 HTTP/1.1" 200 26190
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:53:21 +0900] "GET /test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:53:21 +0900] "GET /test/ HTTP/1.1" 200 24151
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:53:23 +0900] "GET /test/user/main?cafeId=cafeId10 HTTP/1.1" 200 22236
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:53:29 +0900] "GET /test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:53:29 +0900] "GET /test/ HTTP/1.1" 200 24151
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:56:11 +0900] "GET /test/resources/MaxiBiz/lib/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 15208
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:58:09 +0900] "GET /test/admin HTTP/1.1" 200 44084
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:58:09 +0900] "GET /img/undraw_profile_1.svg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:58:09 +0900] "GET /img/undraw_profile_3.svg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:58:09 +0900] "GET /img/undraw_profile_2.svg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:58:09 +0900] "GET /img/undraw_profile.svg HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:58:09 +0900] "GET /test/img/undraw_rocket.svg HTTP/1.1" 404 15208
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:58:09 +0900] "GET /test/img/undraw_posting_photo.svg HTTP/1.1" 404 15208
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:35 +0900] "GET /test/admin HTTP/1.1" 200 44084
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:35 +0900] "GET /img/undraw_profile_1.svg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:35 +0900] "GET /img/undraw_profile.svg HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:35 +0900] "GET /img/undraw_profile_2.svg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:35 +0900] "GET /img/undraw_profile_3.svg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:35 +0900] "GET /test/img/undraw_posting_photo.svg HTTP/1.1" 404 15208
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:35 +0900] "GET /test/img/undraw_rocket.svg HTTP/1.1" 404 15208
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:36 +0900] "GET /test/admin HTTP/1.1" 200 44084
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:36 +0900] "GET /img/undraw_profile_1.svg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:36 +0900] "GET /test/img/undraw_rocket.svg HTTP/1.1" 404 15208
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:36 +0900] "GET /img/undraw_profile_2.svg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:36 +0900] "GET /img/undraw_profile_3.svg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:36 +0900] "GET /img/undraw_profile.svg HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:36 +0900] "GET /test/img/undraw_posting_photo.svg HTTP/1.1" 404 15208
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:36 +0900] "GET /test/admin HTTP/1.1" 200 44084
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:36 +0900] "GET /img/undraw_profile_1.svg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:36 +0900] "GET /img/undraw_profile_2.svg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:36 +0900] "GET /img/undraw_profile_3.svg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:36 +0900] "GET /img/undraw_profile.svg HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:36 +0900] "GET /test/img/undraw_rocket.svg HTTP/1.1" 404 15208
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:36 +0900] "GET /test/img/undraw_posting_photo.svg HTTP/1.1" 404 15208
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:36 +0900] "GET /test/admin HTTP/1.1" 200 44084
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:36 +0900] "GET /img/undraw_profile_1.svg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:36 +0900] "GET /test/img/undraw_rocket.svg HTTP/1.1" 404 15208
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:36 +0900] "GET /img/undraw_profile_2.svg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:36 +0900] "GET /img/undraw_profile_3.svg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:36 +0900] "GET /img/undraw_profile.svg HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:36 +0900] "GET /test/img/undraw_posting_photo.svg HTTP/1.1" 404 15208
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:37 +0900] "GET /test/index.html HTTP/1.1" 404 15208
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:37 +0900] "GET /test/img/pixel.gif HTTP/1.1" 404 15208
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:39 +0900] "GET /test/admin HTTP/1.1" 200 44084
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:39 +0900] "GET /img/undraw_profile_1.svg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:39 +0900] "GET /img/undraw_profile_2.svg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:39 +0900] "GET /img/undraw_profile.svg HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:39 +0900] "GET /img/undraw_profile_3.svg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:39 +0900] "GET /test/img/undraw_rocket.svg HTTP/1.1" 404 15208
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:39 +0900] "GET /test/img/undraw_posting_photo.svg HTTP/1.1" 404 15208
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:39 +0900] "GET /test/admin HTTP/1.1" 200 44084
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:39 +0900] "GET /img/undraw_profile_1.svg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:59:39 +0900] "GET /img/undraw_profile_2.svg HTTP/1.1" 404 835
